name,episodes,link
"1-punkan dake Furete mo Ii yo... 1","1","https://play.sonar-cdn.com/watch?v=75cefb26-9487-4a27-9afc-d19999dba8e8"
"Dandadan Full Animation","1","https://play.sonar-cdn.com/watch?v=40a76e7a-04ed-4c25-ab82-5cafb880db75"
"The Alya x Kuze animation","1","https://play.sonar-cdn.com/watch?v=c01c07be-2560-40e1-be84-3b7bd2881756"
"MNF Le Malin - Full","1","https://play.sonar-cdn.com/watch?v=fc1a62a4-311d-4acc-8502-fd2f3f6b72af"
"Infinity Nikki - Full","1","https://play.sonar-cdn.com/watch?v=de91c624-cc01-4003-845f-b18497c2106d"
"Goblin Breeding Farm 2","1","https://play.sonar-cdn.com/watch?v=2d2f447d-23c7-4573-8ad5-fccb6b883ad1"
"Goblin Breeding Farm 1","1","https://play.sonar-cdn.com/watch?v=c1be3eed-ca8a-4d7e-b29f-2303c1bce97e"
"Natsuzuma 2","1","https://play.sonar-cdn.com/watch?v=338d6b90-8e61-419a-9b06-ea4c12254533"
"Natsuzuma 1","1","https://play.sonar-cdn.com/watch?v=1cad5a57-bed5-498b-9191-0ee7c3d7196b"
"Reika wa Karei na Boku no Joou The Animation 2","1","https://play.sonar-cdn.com/watch?v=d398a5e7-9e9d-4f17-82aa-65ec60c2382b"
"Reika wa Karei na Boku no Joou The Animation 1","1","https://play.sonar-cdn.com/watch?v=f806fa11-58ed-47f5-905b-63c1bd35e4e7"
"Shachiku Cinderella 2","1","https://play.sonar-cdn.com/watch?v=ed317fa8-3d4d-4390-82ee-e1413650500b"
"Dearest Blue 4","1","https://play.sonar-cdn.com/watch?v=347bfd61-4c0a-40ee-8805-a0e0d69d940f"
"Seikon no Aria 1","1","https://play.sonar-cdn.com/watch?v=b417606b-e136-4594-b21f-4a5978f26b02"
"Netorareta Bakunyuu Tsuma-tachi 2","1","https://play.sonar-cdn.com/watch?v=7b0ceb82-e106-43d3-a896-93aa4bc8b94b"
"Honey Blonde 2 Tập 1","1","https://play.sonar-cdn.com/watch?v=ea60154b-5c5b-4dfb-b14c-471052b3d554"
"Choro Mesu Days 1","1","https://play.sonar-cdn.com/watch?v=ecef4ef0-4f33-435a-9cfc-9d54feea83c5"
"H na Gishi Series The Animation 1","1","https://play.sonar-cdn.com/watch?v=2a0f7755-9c3f-4ccf-a8e6-6e9f4cc283e7"
"Sister Breeder 2","1","https://play.sonar-cdn.com/watch?v=a5b3a6eb-a40e-4275-832c-5401a6f4d9f9"
"Sister Breeder 1","1","https://play.sonar-cdn.com/watch?v=63cb8d3e-2523-4657-80d7-efbc3f95b5db"
"Korette Nani? 1","1","https://play.sonar-cdn.com/watch?v=2bdc56fb-1539-454c-8816-8b72bd57bcfd"
"Princess Burst! 2","1","https://play.sonar-cdn.com/watch?v=3eba65f1-3f89-4449-9ee0-f9cc89f2cdf0"
"Kiken na Mori Onigokko 1","1","https://play.sonar-cdn.com/watch?v=2cf25d1c-61f8-4bc1-aa6a-b929c2a0640b"
"Guilty Hole 3","1","https://play.sonar-cdn.com/watch?v=4ae75aff-b1b8-40e1-8940-3a049d022471"
"Shinseki no ko to otomari dakara 1","1","https://play.sonar-cdn.com/watch?v=2cbe88ae-ca88-409c-bc49-1f32a628e5aa"
"Guilty Hole 2","1","https://play.sonar-cdn.com/watch?v=b76e6ca8-318b-4c0e-bd0a-9cc5d47b0d90"
"Shoujo Ramune 6","1","https://play.sonar-cdn.com/watch?v=a37fa2ef-fcb9-450f-ad00-7d8b4b3bf488"
"Netorareta Bakunyuu Tsuma-tachi 1","1","https://play.sonar-cdn.com/watch?v=06521a3e-bfa2-4f60-add8-8e7d132f5e5a"
"Love me Kakurenbo The Animation 1","1","https://play.sonar-cdn.com/watch?v=a88367a4-5f26-4237-ab6f-1a4d0fe0e120"
"Mujin Eki The Animation 2","1","https://play.sonar-cdn.com/watch?v=196f97e1-a769-4a39-9db0-576d99adf1bb"
"Mujin Eki The Animation 1","1","https://play.sonar-cdn.com/watch?v=772c6789-16e9-4f52-88cf-31888b45c995"
"Shachiku Cinderella 1","1","https://play.sonar-cdn.com/watch?v=02804cea-0432-4237-b08c-134f604ba741"
"Lewd Bomb Bust Female Teacher - Remaster Edition 1","1","https://play.sonar-cdn.com/watch?v=1e2aca3d-fc30-495b-a559-da1365e4f2db"
"Sakusei Byoutou The Animation 10","1","https://play.sonar-cdn.com/watch?v=81649980-414a-4263-855e-819e3720b877"
"Amai Ijiwaru 2","1","https://play.sonar-cdn.com/watch?v=2ff9ea06-06de-4246-b533-f5084cb6a1ff"
"Yuusha Hime Milia 3","1","https://play.sonar-cdn.com/watch?v=37bfaa7f-f525-4889-9752-72367a83d282"
"Koushoku no Chuugi Kunoichi Botan 1","1","https://play.sonar-cdn.com/watch?v=8006802b-72a5-446e-b54d-2bd8e8f2fbac"
"Pure Pure Pero Pero Princess 2","1","https://play.sonar-cdn.com/watch?v=e07b79c9-77fe-4d7e-9a1b-a769d6e2e589"
"Pure Pure Pero Pero Princess 1","1","https://play.sonar-cdn.com/watch?v=6f655baf-e688-4fc6-ac4e-4dd3fda37eae"
"Boku no Risou no Isekai Seikatsu 2","1","https://play.sonar-cdn.com/watch?v=6d37c00d-2d05-4317-8ae9-b7046ba637ed"
"Guilty Hole 1","1","https://play.sonar-cdn.com/watch?v=29ca62dc-701c-4cda-b92c-f09b7e89fc04"
"Immoral Game Master The Animation 2","1","https://play.sonar-cdn.com/watch?v=85e17a8a-d07c-4d82-bf16-d398078521ed"
"Immoral Game Master The Animation 1","1","https://play.sonar-cdn.com/watch?v=a048de46-6e3f-4537-a7b5-4395abbfa39d"
"Deki Chau Made Kon 1","1","https://play.sonar-cdn.com/watch?v=d53b86cb-050a-4cb6-9ba4-f3b774651873"
"Taishou Itsuwari Bridal Migawari Hanayome to Gunpuku no Mou Ai 1","1","https://play.sonar-cdn.com/watch?v=c26bbc3c-d29f-4f70-b308-f822844fb77e"
"Hitozuma no Kuchibiru wa Kan Chuuhai no Aji ga Shite 9","1","https://play.sonar-cdn.com/watch?v=a9dd3fce-fbc8-4b8c-875e-4c8fcedb0438"
"Asa made Shiru Daku Oyakodon!! 2","1","https://play.sonar-cdn.com/watch?v=b971459b-5eb7-481d-b9d7-44ab51264ea2"
"Kuro Gal a La Carte 2","1","https://play.sonar-cdn.com/watch?v=347ebfde-0d9e-4fc5-8b61-51ce46063703"
"Notto Sexaroid Eurie! 2","1","https://play.sonar-cdn.com/watch?v=62a6574e-9c43-4dea-92cb-63dd4567b4eb"
"Succubus Connect! 4","1","https://play.sonar-cdn.com/watch?v=59625c14-ed6f-41f6-a25f-79a238d57b78"
"Shoujo Ramune 5","1","https://play.sonar-cdn.com/watch?v=1c7c921f-910c-411a-baa0-aa3823f87d13"
"Shinsei Kourin Dacryon Luna 2","1","https://play.sonar-cdn.com/watch?v=b0985beb-0890-4de9-b2ee-7fc08f958060"
"Yogoreta Kanojo 1","1","https://play.sonar-cdn.com/watch?v=a0be5684-29d6-4a0a-a53a-9f941dd72598"
"Tonari no Kanojo 1","1","https://play.sonar-cdn.com/watch?v=13715e74-5efd-404b-b3fb-286a5d333de7"
"Motokare to wa Dekinakatta Sex Shitemo Ii desu ka? 1","1","https://play.sonar-cdn.com/watch?v=5ded9c5a-57e8-4317-9c59-3769845d01d2"
"Elf ni Inmon o Tsukeru Hon The Animation 2","1","https://play.sonar-cdn.com/watch?v=bdc71493-51d9-4d73-a38b-806facf0311d"
"Asa made Shiru Daku Oyakodon!! 1","1","https://play.sonar-cdn.com/watch?v=48d80a72-2901-4319-a255-e51482fee0e5"
"1LDK + JK Ikinari Doukyo Micchaku Hatsu Ecchi 5","1","https://play.sonar-cdn.com/watch?v=88009732-8488-4330-8f50-013e974f08c5"
"Oni Chichi Harem 4","1","https://play.sonar-cdn.com/watch?v=f6d0d168-85e0-460b-8617-51cca0b04fbd"
"Kuro Gal a La Carte 1","1","https://play.sonar-cdn.com/watch?v=80a37c24-5323-41c2-a878-2de91b35b21c"
"Princess Burst! 1","1","https://play.sonar-cdn.com/watch?v=dc3a0c12-f836-4ea6-81a8-e1637592867f"
"Eroriman 2 Ep.4","1","https://play.sonar-cdn.com/watch?v=f64a9a1a-2379-4ffa-a6b8-b2ee771a825d"
"Hametsu no Yuuwaku 2","1","https://play.sonar-cdn.com/watch?v=b6dee046-a961-4d45-96c2-0fbc391b0553"
"Akogare no Onna Joushi ga. Aibeya Shucchou no Tonari no Bed de Zetsurin Otoko ni Netorarete Iru 2","1","https://play.sonar-cdn.com/watch?v=5804aafa-9820-41a6-8811-c3ddef456284"
"Kanojo ga Separate o Matou Riyuu 1","1","https://play.sonar-cdn.com/watch?v=069274fa-4cb8-4227-b3ef-928920d09397"
"Sex Therapist 2","1","https://play.sonar-cdn.com/watch?v=e36ff792-d9b4-433a-99fc-9ddf3250c3fc"
"Sex Therapist 1","1","https://play.sonar-cdn.com/watch?v=b3e02251-cbb1-438a-8824-be962613815f"
"Imaria 6","1","https://play.sonar-cdn.com/watch?v=6f60240a-5150-40b7-8ae3-40272519036c"
"Imaria 5","1","https://play.sonar-cdn.com/watch?v=85076bc6-77bf-4622-9aba-b9ad2e219f27"
"Inshoku Ou Demaru 1","1","https://play.sonar-cdn.com/watch?v=94ddc1cd-f5ac-4612-8771-9729b7a4e145"
"Boku no Risou no Isekai Seikatsu 1","1","https://play.sonar-cdn.com/watch?v=971813ae-de6a-4852-8490-24d8e922c6d8"
"Mama Katsu Midareru Mama-tachi no Himitsu 4","1","https://play.sonar-cdn.com/watch?v=a014d6f9-bf36-4456-864b-29e2a2e4d147"
"Kakushite! Makina-san!! 12","1","https://play.sonar-cdn.com/watch?v=ec9b0269-8f88-4d2c-a7d1-16c0ce5e3e5b"
